P, z_0, z_0L, z_0g_exact, z_0g_approx, z_0Lg_approx
101325, -0, -0, -0, 0, 0
101275, 4.16321, 4.16301, 4.16321, 4.16321, 4.16301
101225, 8.32847, 8.32769, 8.32848, 8.32848, 8.3277
101175, 12.4958, 12.494, 12.4958, 12.4958, 12.4941
101125, 16.6652, 16.662, 16.6652, 16.6652, 16.6621
101075, 20.8366, 20.8317, 20.8367, 20.8367, 20.8318
101025, 25.0101, 25.0031, 25.0102, 25.0102, 25.0032
100975, 29.1857, 29.1761, 29.1858, 29.1858, 29.1762
100925, 33.3633, 33.3508, 33.3635, 33.3635, 33.351
100875, 37.543, 37.5272, 37.5433, 37.5433, 37.5274
100825, 41.7248, 41.7052, 41.7251, 41.7251, 41.7055
100775, 45.9087, 45.8849, 45.909, 45.909, 45.8853
100725, 50.0946, 50.0663, 50.095, 50.095, 50.0667
100675, 54.2826, 54.2494, 54.2831, 54.2831, 54.2499
100625, 58.4727, 58.4342, 58.4733, 58.4733, 58.4347
100575, 62.6649, 62.6206, 62.6655, 62.6655, 62.6212
100525, 66.8592, 66.8088, 66.8599, 66.8599, 66.8095
100475, 71.0555, 70.9986, 71.0563, 71.0563, 70.9994
100425, 75.2539, 75.1901, 75.2548, 75.2548, 75.191
100375, 79.4545, 79.3833, 79.4555, 79.4555, 79.3843
100325, 83.6571, 83.5782, 83.6582, 83.6582, 83.5793
100275, 87.8618, 87.7748, 87.863, 87.863, 87.776
100225, 92.0686, 91.9731, 92.07, 92.07, 91.9744
100175, 96.2775, 96.1731, 96.279, 96.279, 96.1745
100125, 100.489, 100.375, 100.49, 100.49, 100.376
100075, 104.702, 104.578, 104.703, 104.703, 104.58
100025, 108.917, 108.783, 108.919, 108.919, 108.785
99975, 113.134, 112.99, 113.136, 113.136, 112.992
99925, 117.354, 117.198, 117.356, 117.356, 117.201
99875, 121.575, 121.409, 121.578, 121.578, 121.411
99825, 125.799, 125.621, 125.801, 125.801, 125.623
99775, 130.025, 129.834, 130.027, 130.027, 129.837
99725, 134.253, 134.049, 134.255, 134.255, 134.052
99675, 138.483, 138.266, 138.486, 138.486, 138.269
99625, 142.715, 142.485, 142.718, 142.718, 142.488
99575, 146.949, 146.706, 146.952, 146.952, 146.709
99525, 151.185, 150.928, 151.189, 151.189, 150.931
99475, 155.424, 155.152, 155.428, 155.428, 155.156
99425, 159.665, 159.377, 159.669, 159.669, 159.381
99375, 163.907, 163.605, 163.912, 163.912, 163.609
99325, 168.152, 167.834, 168.157, 168.157, 167.838
99275, 172.399, 172.065, 172.404, 172.404, 172.069
99225, 176.648, 176.297, 176.653, 176.653, 176.302
99175, 180.9, 180.531, 180.905, 180.905, 180.536
99125, 185.153, 184.767, 185.159, 185.159, 184.773
99075, 189.409, 189.005, 189.415, 189.415, 189.01
99025, 193.667, 193.244, 193.673, 193.673, 193.25
98975, 197.927, 197.485, 197.933, 197.933, 197.492
98925, 202.189, 201.728, 202.195, 202.195, 201.735
98875, 206.453, 205.973, 206.46, 206.46, 205.98
98825, 210.719, 210.219, 210.726, 210.726, 210.226
98775, 214.988, 214.467, 214.995, 214.995, 214.475
98725, 219.259, 218.717, 219.266, 219.266, 218.725
98675, 223.531, 222.969, 223.539, 223.539, 222.977
98625, 227.807, 227.222, 227.815, 227.815, 227.23
98575, 232.084, 231.477, 232.092, 232.092, 231.486
98525, 236.363, 235.734, 236.372, 236.372, 235.743
98475, 240.645, 239.993, 240.654, 240.654, 240.002
98425, 244.928, 244.253, 244.938, 244.938, 244.262
98375, 249.214, 248.515, 249.224, 249.224, 248.525
98325, 253.502, 252.779, 253.512, 253.512, 252.789
98275, 257.793, 257.045, 257.803, 257.803, 257.055
98225, 262.085, 261.312, 262.096, 262.096, 261.323
98175, 266.38, 265.581, 266.391, 266.391, 265.592
98125, 270.677, 269.852, 270.688, 270.688, 269.863
98075, 274.976, 274.125, 274.987, 274.987, 274.136
98025, 279.277, 278.399, 279.289, 279.289, 278.411
97975, 283.58, 282.675, 283.593, 283.593, 282.688
97925, 287.886, 286.953, 287.899, 287.899, 286.966
97875, 292.194, 291.233, 292.207, 292.207, 291.246
97825, 296.504, 295.514, 296.517, 296.517, 295.528
97775, 300.816, 299.797, 300.83, 300.83, 299.812
97725, 305.13, 304.082, 305.145, 305.145, 304.097
97675, 309.447, 308.369, 309.462, 309.462, 308.384
97625, 313.766, 312.658, 313.781, 313.781, 312.673
97575, 318.087, 316.948, 318.103, 318.103, 316.964
97525, 322.41, 321.24, 322.426, 322.426, 321.256
97475, 326.735, 325.534, 326.752, 326.752, 325.551
97425, 331.063, 329.83, 331.08, 331.08, 329.847
97375, 335.393, 334.127, 335.411, 335.411, 334.145
97325, 339.725, 338.427, 339.743, 339.743, 338.445
97275, 344.059, 342.728, 344.078, 344.078, 342.746
97225, 348.396, 347.031, 348.415, 348.415, 347.049
97175, 352.735, 351.335, 352.754, 352.754, 351.355
97125, 357.076, 355.642, 357.096, 357.096, 355.661
97075, 361.419, 359.95, 361.44, 361.44, 359.97
97025, 365.765, 364.26, 365.786, 365.786, 364.281
96975, 370.112, 368.572, 370.134, 370.134, 368.593
96925, 374.462, 372.885, 374.484, 374.484, 372.907
96875, 378.815, 377.201, 378.837, 378.837, 377.223
96825, 383.169, 381.518, 383.192, 383.192, 381.541
96775, 387.526, 385.837, 387.55, 387.55, 385.86
96725, 391.885, 390.158, 391.909, 391.909, 390.182
96675, 396.246, 394.481, 396.271, 396.271, 394.505
96625, 400.61, 398.805, 400.635, 400.635, 398.83
96575, 404.975, 403.131, 405.001, 405.001, 403.157
96525, 409.343, 407.459, 409.37, 409.37, 407.485
96475, 413.714, 411.789, 413.741, 413.741, 411.816
96425, 418.086, 416.121, 418.114, 418.114, 416.148
96375, 422.461, 420.455, 422.489, 422.489, 420.482
96325, 426.838, 424.79, 426.867, 426.867, 424.818
96275, 431.218, 429.127, 431.247, 431.247, 429.156
96225, 435.599, 433.466, 435.629, 435.629, 433.496
96175, 439.983, 437.807, 440.014, 440.014, 437.837
96125, 444.369, 442.15, 444.4, 444.4, 442.18
96075, 448.758, 446.494, 448.789, 448.789, 446.525
96025, 453.149, 450.84, 453.181, 453.181, 450.872
